Identified Proteins (1678),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,Acetate-R1,Acetate-R2,Acetate-R3,Arabinose-R1,Arabinose-R2,Arabinose-R3,Fumarate-R1,Fumarate-R2,Fumarate-R3,Glucose-R1,Glucose-R2,Glucose-R3,LB-R1,LB-R2,LB-R3,Mannitol-R1,Mannitol-R2,Mannitol-R3,Mannose-R1,Mannose-R2,Mannose-R3,Protocatechuate-R1,Protocatechuate-R2,Protocatechuate-R3,Ribose-R1,Ribose-R2,Ribose-R3,Succinate-R1,Succinate-R2,Succinate-R3,Xylose-R1,Xylose-R2,Xylose-R3
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0755 PE=4 SV=1,Q8UHC7,Atu0755,11 kDa,,unknown,1.9192,2.1211,2.3737,1.9612,2.3781,2.0028,2.723,1.931,1.9098,2.6136,1.1086,2.0232,4.5587,5.5042,4.0045,1.9878,1.9719,2.0216,1.9851,2.9621,3.0212,3.1334,1.9575,3.0696,3.5294,1.935,2.8469,1.0001,1.8587,1.8552,0.94041,1.8839,2.0216
Rap1a domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4346 PE=4 SV=1,A9CGG9,Atu4346,14 kDa,,unknown,4.798,5.3027,5.9342,0.98062,0,0,0,0.96552,0,2.6136,2.2172,2.0232,2.7352,5.5042,5.0056,1.9878,0.98595,1.0108,1.9851,0.98736,2.0141,1.0445,1.9575,1.0232,4.4117,5.805,2.8469,1.0001,0,0,0.94041,1.8839,2.0216
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4634 PE=4 SV=1,A9CGX5,Atu4634,24 kDa,,unknown,0.95961,2.1211,0,3.9225,2.3781,3.0042,4.5383,6.7586,4.7746,1.3068,2.2172,2.0232,1.8235,1.1008,1.0011,1.9878,2.9578,2.0216,1.9851,0.98736,1.0071,1.0445,0.97876,2.0464,0.88234,0.9675,0.94895,3.0002,3.7174,5.5656,0,0.94195,1.0108
Glycogen synthase 1 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glgA1 PE=3 SV=1,P0A3F2,glgA1,52 kDa,,unknown,2.8788,1.0605,0,0.98062,2.3781,1.0014,3.6306,1.931,1.9098,0,3.3259,2.0232,1.8235,2.2017,1.0011,1.9878,3.9438,4.0432,3.9703,1.9747,2.0141,3.1334,1.9575,2.0464,2.647,2.9025,1.8979,2.0001,3.7174,1.8552,1.8808,0,0
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1514 PE=4 SV=2,Q7CZ32,Atu1514,30 kDa,,unknown,3.8384,2.1211,2.3737,0.98062,0,3.0042,2.723,1.931,0.95491,0,1.1086,2.0232,2.7352,3.3025,2.0022,0.9939,2.9578,2.0216,0.99257,0.98736,2.0141,1.0445,0.97876,0,3.5294,3.87,3.7958,0,0,0.9276,2.8212,1.8839,1.0108
Chemotaxis receiver protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cheY PE=4 SV=1,Q7D1A5,cheY,14 kDa,,unknown,0.95961,2.1211,3.5605,0.98062,1.189,1.0014,0.90766,0.96552,0.95491,1.3068,1.1086,1.0116,0,0,0,0.9939,1.9719,1.0108,0.99257,2.9621,2.0141,3.1334,3.9151,5.116,7.0587,5.805,5.6937,1.0001,0.92935,0.9276,2.8212,2.8259,1.0108
Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ubiE PE=3 SV=1,Q8UIH5,ubiE,29 kDa,,unknown,2.8788,2.1211,1.1868,1.9612,1.189,3.0042,4.5383,1.931,2.8647,1.3068,2.2172,2.0232,2.7352,1.1008,3.0034,2.9817,1.9719,2.0216,0.99257,0.98736,1.0071,1.0445,0.97876,1.0232,1.7647,1.935,1.8979,3.0002,2.788,3.7104,2.8212,1.8839,1.0108
Replication protein B OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=repB PE=3 SV=1,A9CFU3,repB,37 kDa,,unknown,1.9192,1.0605,1.1868,2.9419,1.189,3.0042,0.90766,1.931,1.9098,1.3068,2.2172,5.058,1.8235,1.1008,1.0011,1.9878,3.9438,2.0216,3.9703,1.9747,3.0212,3.1334,2.9363,1.0232,4.4117,4.8375,0.94895,3.0002,2.788,1.8552,0.94041,2.8259,0
"ABC transporter, nucleotide binding/ATPase protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0333 PE=4 SV=1",A9CKD9,Atu0333,29 kDa,,unknown,1.9192,2.1211,0,1.9612,1.189,5.007,2.723,2.8965,0.95491,0,2.2172,3.0348,0.91174,1.1008,1.0011,2.9817,2.9578,3.0324,0,1.9747,2.0141,1.0445,1.9575,1.0232,4.4117,0,2.8469,4.0002,1.8587,3.7104,1.8808,2.8259,0
"Protocatechuate 3,4-dioxygenase alpha chain OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pcaG PE=4 SV=1",Q7CV76,pcaG,23 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.023,23.49,22.51,0,0,0,0,0,0,0,0,0
Cysteine--tRNA ligase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cysS PE=3 SV=1,Q8UGG4,cysS,52 kDa,,unknown,2.8788,3.1816,3.5605,3.9225,2.3781,4.0056,0,4.8276,3.8196,0,2.2172,1.0116,0.91174,1.1008,1.0011,2.9817,1.9719,1.0108,1.9851,0.98736,2.0141,0,0.97876,3.0696,0.88234,2.9025,1.8979,2.0001,1.8587,1.8552,0.94041,3.7678,3.0324
Acetyl-CoA C-acetyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3475 PE=3 SV=1,A9CFA1,Atu3475,43 kDa,,unknown,0.95961,0,0,0,0,0,1.8153,1.931,2.8647,0,0,0,20.058,12.109,21.023,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0.94895,0,0.92935,0,3.7617,3.7678,2.0216
Acyl-CoA dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=acd PE=4 SV=1,A9CHM8,acd,42 kDa,,unknown,1.9192,2.1211,1.1868,2.9419,2.3781,2.0028,0.90766,0,1.9098,2.6136,2.2172,2.0232,0.91174,1.1008,1.0011,1.9878,1.9719,1.0108,2.9777,1.9747,3.0212,2.089,1.9575,2.0464,2.647,3.87,3.7958,1.0001,0,1.8552,0.94041,1.8839,2.0216
Nitrogen regulatory IIA protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ptsN PE=4 SV=1,A9CKE0,ptsN,16 kDa,,unknown,0.95961,2.1211,1.1868,3.9225,1.189,3.0042,3.6306,2.8965,3.8196,0,1.1086,1.0116,1.8235,2.2017,2.0022,0.9939,1.9719,1.0108,1.9851,1.9747,2.0141,3.1334,2.9363,2.0464,2.647,1.935,2.8469,3.0002,0.92935,1.8552,2.8212,2.8259,3.0324
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8201 PE=4 SV=1,Q8U522,Atu8201,7 kDa,,unknown,1.9192,1.0605,1.1868,1.9612,2.3781,3.0042,0.90766,0.96552,1.9098,1.3068,1.1086,3.0348,3.6469,2.2017,4.0045,1.9878,1.9719,1.0108,2.9777,3.9494,2.0141,2.089,3.9151,2.0464,2.647,1.935,3.7958,1.0001,1.8587,1.8552,1.8808,1.8839,2.0216
Histidinol dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=hisD PE=3 SV=1,Q8UHX1,hisD,46 kDa,,unknown,1.9192,3.1816,2.3737,0.98062,2.3781,3.0042,3.6306,1.931,4.7746,0,1.1086,2.0232,3.6469,3.3025,1.0011,1.9878,0.98595,3.0324,0,0.98736,2.0141,1.0445,1.9575,1.0232,2.647,2.9025,0,6.0003,4.6467,2.7828,0,0.94195,2.0216
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1810 PE=1 SV=1,A9CIL3,Atu1810,12 kDa,,unknown,1.9192,2.1211,3.5605,2.9419,2.3781,3.0042,0.90766,0.96552,1.9098,2.6136,2.2172,2.0232,0.91174,3.3025,2.0022,0.9939,3.9438,3.0324,2.9777,0.98736,3.0212,1.0445,0.97876,4.0928,0.88234,1.935,0.94895,3.0002,1.8587,1.8552,1.8808,0.94195,1.0108
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2175 PE=4 SV=1,A9CI78,Atu2175,33 kDa,,unknown,0.95961,1.0605,3.5605,0.98062,2.3781,1.0014,3.6306,0.96552,1.9098,1.3068,1.1086,1.0116,2.7352,1.1008,2.0022,1.9878,0.98595,1.0108,1.9851,1.9747,3.0212,2.089,0.97876,1.0232,4.4117,3.87,3.7958,1.0001,3.7174,3.7104,2.8212,2.8259,3.0324
"3,4-dihydroxy-2-butanone kinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=dhbK PE=4 SV=1",A9CFD1,dhbK,57 kDa,,unknown,1.9192,2.1211,3.5605,1.9612,1.189,1.0014,2.723,1.931,1.9098,2.6136,2.2172,3.0348,2.7352,3.3025,3.0034,1.9878,2.9578,3.0324,1.9851,2.9621,2.0141,3.1334,1.9575,2.0464,1.7647,2.9025,1.8979,1.0001,1.8587,1.8552,1.8808,1.8839,2.0216
Ribosomal RNA small subunit methyltransferase H OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rsmH PE=3 SV=1,P58745,rsmH,36 kDa,,unknown,2.8788,2.1211,2.3737,1.9612,1.189,2.0028,2.723,0.96552,2.8647,0,2.2172,3.0348,1.8235,2.2017,2.0022,2.9817,2.9578,3.0324,2.9777,2.9621,2.0141,2.089,2.9363,2.0464,1.7647,1.935,1.8979,2.0001,1.8587,1.8552,2.8212,2.8259,1.0108
Cluster of YkuD domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3331 PE=4 SV=1 (A9CF08),A9CF08 [2],Atu3331,28 kDa,TRUE,unknown,0,1.0605,1.1868,0,0,0,0,0,0.95491,0,0,0,0.91174,1.1008,3.0034,0,0,1.0108,0,0,0,0,0,0,0,0,0,0,0.92935,0,1.8808,0.94195,0
Methionine aminopeptidase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=map PE=3 SV=1,A9CIV5,map,30 kDa,,unknown,0,1.0605,0,1.9612,1.189,3.0042,4.5383,1.931,3.8196,2.6136,2.2172,2.0232,3.6469,1.1008,5.0056,2.9817,1.9719,2.0216,1.9851,1.9747,2.0141,2.089,1.9575,2.0464,1.7647,1.935,0.94895,1.0001,1.8587,1.8552,1.8808,0.94195,2.0216
Ferredoxin NADP+ reductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=mvrA PE=4 SV=1,A9CJ20,mvrA,30 kDa,,unknown,1.9192,1.0605,2.3737,3.9225,1.189,5.007,3.6306,1.931,1.9098,0,2.2172,1.0116,0,1.1008,0,2.9817,3.9438,0,0.99257,0.98736,1.0071,1.0445,0.97876,1.0232,0,0.9675,0,6.0003,7.4348,6.4932,0,0.94195,2.0216
FAD dependent oxidoreductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0723 PE=4 SV=1,A9CJZ9,Atu0723,51 kDa,,unknown,1.9192,2.1211,2.3737,2.9419,1.189,3.0042,1.8153,3.8621,2.8647,1.3068,3.3259,1.0116,1.8235,2.2017,1.0011,1.9878,2.9578,2.0216,0.99257,0.98736,2.0141,2.089,1.9575,1.0232,0.88234,1.935,0.94895,3.0002,2.788,1.8552,2.8212,1.8839,2.0216
GTPase Obg OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=obg PE=3 SV=2,Q7CW97,obg,38 kDa,,unknown,0.95961,1.0605,1.1868,1.9612,1.189,2.0028,3.6306,4.8276,2.8647,0,3.3259,2.0232,1.8235,2.2017,2.0022,1.9878,0.98595,2.0216,2.9777,0.98736,3.0212,1.0445,1.9575,2.0464,0.88234,1.935,1.8979,4.0002,0.92935,3.7104,1.8808,0.94195,3.0324
Phosphoribosylamine--glycine ligase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=purD PE=3 SV=2,Q8UHN3,purD,44 kDa,,unknown,1.9192,2.1211,2.3737,0.98062,2.3781,1.0014,5.4459,6.7586,2.8647,1.3068,1.1086,1.0116,1.8235,2.2017,2.0022,0,0,0,0,0.98736,1.0071,0,0.97876,2.0464,0,0,0,3.0002,3.7174,4.638,1.8808,0.94195,0
DNA ligase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ligA PE=3 SV=1,A9CIB3,ligA,79 kDa,,unknown,2.8788,1.0605,3.5605,1.9612,2.3781,2.0028,1.8153,1.931,2.8647,0,1.1086,2.0232,1.8235,3.3025,2.0022,0,1.9719,2.0216,1.9851,1.9747,2.0141,2.089,1.9575,2.0464,1.7647,2.9025,2.8469,4.0002,2.788,1.8552,0.94041,2.8259,2.0216
Glutathione-S-transferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gst PE=3 SV=1,A9CJU4,gst,24 kDa,,unknown,2.8788,1.0605,2.3737,2.9419,1.189,1.0014,0,1.931,0,2.6136,2.2172,2.0232,7.2939,4.4033,6.0067,2.9817,0.98595,1.0108,2.9777,1.9747,1.0071,1.0445,2.9363,3.0696,1.7647,3.87,3.7958,1.0001,0,0.9276,1.8808,0.94195,1.0108
NAD-dependent succinyl-semialdehyde dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=blcA PE=3 SV=2,Q7D3U2,blcA,51 kDa,,unknown,0,0,1.1868,1.9612,0,2.0028,2.723,1.931,2.8647,2.6136,0,1.0116,4.5587,2.2017,6.0067,1.9878,0.98595,0,0.99257,0.98736,1.0071,3.1334,3.9151,4.0928,2.647,1.935,1.8979,0,1.8587,3.7104,0.94041,0,2.0216
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2682 PE=3 SV=1,A9CHH9,Atu2682,28 kDa,,unknown,0.95961,1.0605,1.1868,0.98062,2.3781,1.0014,3.6306,0.96552,1.9098,1.3068,1.1086,1.0116,4.5587,2.2017,5.0056,0.9939,0.98595,1.0108,0.99257,1.9747,1.0071,1.0445,0.97876,2.0464,1.7647,2.9025,1.8979,1.0001,1.8587,0.9276,1.8808,0.94195,3.0324
"PTS system, IIA component OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0031 PE=4 SV=1",A9CKS4,Atu0031,14 kDa,,unknown,0,0,1.1868,1.9612,1.189,1.0014,1.8153,2.8965,1.9098,1.3068,2.2172,2.0232,0,0,0,2.9817,1.9719,2.0216,1.9851,1.9747,2.0141,2.089,0.97876,1.0232,0.88234,1.935,1.8979,4.0002,3.7174,3.7104,1.8808,0.94195,1.0108
"ABC transporter, substrate binding protein (Mannopine) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=attC PE=1 SV=1",A9CLM6,attC,40 kDa,,unknown,0.95961,1.0605,0,0.98062,0,1.0014,4.5383,5.7931,6.6844,0,1.1086,1.0116,0,0,0,0,0.98595,1.0108,0.99257,0.98736,1.0071,3.1334,3.9151,5.116,3.5294,3.87,1.8979,6.0003,5.5761,6.4932,0,0,0
Dimethylglycine dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1632 PE=3 SV=1,Q8U599,Atu1632,92 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,18.235,16.513,20.022,0,0,0,0,0,0,0,0,0,1.7647,0,0.94895,0,0,0,1.8808,1.8839,3.0324
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0730 PE=4 SV=2,Q7D0T7,Atu0730,20 kDa,,unknown,0,0,0,0.98062,0,2.0028,0,0,0,0,3.3259,4.0464,0,0,0,2.9817,2.9578,3.0324,4.9628,2.9621,4.0282,4.1779,4.8938,3.0696,2.647,0,1.8979,1.0001,2.788,3.7104,4.7021,3.7678,4.0432
HTH merR-type domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1181 PE=4 SV=2,Q7CZT4,Atu1181,20 kDa,,unknown,1.9192,3.1816,2.3737,0.98062,1.189,1.0014,2.723,2.8965,1.9098,2.6136,1.1086,2.0232,2.7352,1.1008,1.0011,2.9817,0.98595,3.0324,1.9851,1.9747,2.0141,3.1334,1.9575,2.0464,2.647,1.935,1.8979,3.0002,1.8587,1.8552,2.8212,2.8259,2.0216
33 kDa chaperonin OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=hslO PE=3 SV=2,Q7D1H2,hslO,36 kDa,,unknown,0,1.0605,1.1868,0,0,0,5.4459,3.8621,4.7746,1.3068,0,0,5.4704,5.5042,8.0089,0,0,0,0,0,0,2.089,0,0,5.294,3.87,3.7958,2.0001,4.6467,3.7104,1.8808,0,1.0108
LysM domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8147 PE=4 SV=1,Q8U5E6,Atu8147,69 kDa,,unknown,1.9192,4.2422,2.3737,1.9612,2.3781,4.0056,0.90766,0.96552,0.95491,2.6136,1.1086,3.0348,0,0,0,1.9878,0.98595,1.0108,1.9851,2.9621,2.0141,2.089,1.9575,2.0464,5.294,6.7725,4.7448,1.0001,1.8587,0.9276,0.94041,1.8839,1.0108
"3-carboxy-cis,cis-muconate cycloisomerase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pcaB PE=4 SV=1",Q7CV75,pcaB,37 kDa,,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.756,22.512,24.557,0,0,0,0,0,0,0,0,0
Cytokinin riboside 5'-monophosphate phosphoribohydrolase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1066 PE=3 SV=2,Q7D018,Atu1066,23 kDa,,unknown,1.9192,3.1816,3.5605,2.9419,2.3781,3.0042,1.8153,2.8965,0.95491,1.3068,2.2172,2.0232,0.91174,2.2017,1.0011,3.9756,1.9719,2.0216,0,1.9747,3.0212,1.0445,0.97876,1.0232,1.7647,2.9025,0.94895,4.0002,2.788,0.9276,3.7617,1.8839,1.0108
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0606 PE=4 SV=2,Q7D143,Atu0606,9 kDa,,unknown,16.313,15.908,16.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8212,4.7098,3.0324
SnoaL-like domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8117 PE=4 SV=1,Q8U5N3,Atu8117,15 kDa,,unknown,2.8788,1.0605,1.1868,1.9612,1.189,2.0028,2.723,2.8965,0.95491,1.3068,2.2172,1.0116,4.5587,4.4033,4.0045,0.9939,0.98595,1.0108,1.9851,0.98736,1.0071,1.0445,1.9575,1.0232,2.647,2.9025,2.8469,1.0001,1.8587,2.7828,2.8212,2.8259,3.0324
GTP cyclohydrolase 1 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=folE PE=3 SV=1,Q8UEK8,folE,23 kDa,,unknown,0,2.1211,3.5605,0,0,1.0014,1.8153,2.8965,2.8647,0,0,0,1.8235,2.2017,2.0022,0,0,0,1.9851,0,2.0141,2.089,0.97876,1.0232,3.5294,2.9025,2.8469,3.0002,2.788,2.7828,0,1.8839,2.0216
Xanthine phosphoribosyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gpt PE=3 SV=2,Q8UEM6,gpt,18 kDa,,unknown,1.9192,2.1211,2.3737,1.9612,2.3781,2.0028,1.8153,1.931,1.9098,0,2.2172,2.0232,2.7352,2.2017,2.0022,1.9878,1.9719,2.0216,0.99257,1.9747,2.0141,2.089,0.97876,2.0464,2.647,0.9675,1.8979,2.0001,2.788,2.7828,1.8808,1.8839,2.0216
Dihydroorotate dehydrogenase (quinone) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pyrD PE=3 SV=1,A9CK85,pyrD,39 kDa,,unknown,1.9192,2.1211,2.3737,2.9419,1.189,2.0028,1.8153,2.8965,1.9098,0,0,2.0232,1.8235,2.2017,2.0022,1.9878,1.9719,2.0216,1.9851,0.98736,2.0141,2.089,1.9575,2.0464,1.7647,1.935,1.8979,3.0002,2.788,1.8552,1.8808,0.94195,3.0324
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3496 PE=4 SV=1,A9CFB2,Atu3496,18 kDa,,unknown,2.8788,2.1211,3.5605,0.98062,1.189,0,0,0.96552,0,1.3068,1.1086,1.0116,0.91174,3.3025,2.0022,1.9878,0,1.0108,0.99257,1.9747,1.0071,2.089,0,2.0464,6.1764,8.7075,3.7958,0,0,0.9276,0.94041,3.7678,1.0108
Chorismate mutase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=tyrA PE=4 SV=1,A9CHH1,tyrA,12 kDa,,unknown,1.9192,1.0605,1.1868,0.98062,2.3781,1.0014,2.723,1.931,1.9098,2.6136,1.1086,1.0116,0.91174,1.1008,1.0011,0.9939,1.9719,3.0324,0.99257,1.9747,2.0141,1.0445,0.97876,2.0464,0,0.9675,0.94895,1.0001,3.7174,2.7828,0.94041,0.94195,1.0108
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0728 PE=4 SV=1,A9CJZ5,Atu0728,18 kDa,,unknown,1.9192,0,0,0.98062,0,1.0014,3.6306,2.8965,2.8647,1.3068,1.1086,3.0348,0.91174,0,1.0011,1.9878,2.9578,1.0108,1.9851,1.9747,2.0141,2.089,2.9363,1.0232,0.88234,0.9675,0.94895,2.0001,1.8587,2.7828,2.8212,1.8839,2.0216
Threonine dehydratase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ilvA PE=4 SV=1,A9CHF8,ilvA,34 kDa,,unknown,1.9192,3.1816,1.1868,2.9419,1.189,2.0028,2.723,1.931,1.9098,2.6136,0,3.0348,1.8235,2.2017,2.0022,1.9878,2.9578,1.0108,0.99257,1.9747,2.0141,2.089,1.9575,2.0464,1.7647,3.87,2.8469,1.0001,0.92935,0.9276,2.8212,1.8839,1.0108
Oxidoreductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2668 PE=3 SV=1,A9CHI5,Atu2668,30 kDa,,unknown,5.7576,6.3633,8.3079,0,0,0,0.90766,0.96552,0,1.3068,0,0,12.764,11.008,11.012,0,0,0,0,0,0,0,0,0,0.88234,0.9675,0.94895,0,0,0,0,0,0
Polyketide biosynthesis associated protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1775 PE=4 SV=1,A9CIN4,Atu1775,24 kDa,,unknown,1.9192,2.1211,2.3737,0.98062,0,0,3.6306,1.931,2.8647,0,0,1.0116,6.3821,3.3025,5.0056,1.9878,0.98595,1.0108,0,1.9747,1.0071,1.0445,0.97876,0,2.647,1.935,2.8469,1.0001,2.788,2.7828,2.8212,1.8839,2.0216
Phosphate-specific transport system accessory protein PhoU OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=phoU PE=3 SV=1,A9CKA4,phoU,27 kDa,,unknown,3.8384,2.1211,2.3737,2.9419,1.189,3.0042,3.6306,2.8965,3.8196,1.3068,2.2172,2.0232,0.91174,1.1008,1.0011,1.9878,2.9578,3.0324,2.9777,1.9747,0,0,0.97876,1.0232,1.7647,0.9675,1.8979,2.0001,3.7174,2.7828,0,2.8259,0
"ABC transporter, substrate binding protein (Amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1388 PE=3 SV=1",A9CJ57,Atu1388,28 kDa,,unknown,0,0,0,29.419,35.671,5.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnesium transporter MgtE OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=mgtE PE=3 SV=1,A9CJL5,mgtE,49 kDa,,unknown,0,0,0,0,0,0,0,0,0,1.3068,0,0,18.235,17.613,23.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione S-transferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gst PE=4 SV=1,A9CJU5,gst,23 kDa,,unknown,0,1.0605,0,1.9612,2.3781,3.0042,3.6306,1.931,0,1.3068,1.1086,2.0232,1.8235,1.1008,2.0022,1.9878,0.98595,2.0216,0.99257,1.9747,3.0212,1.0445,0.97876,1.0232,0.88234,0.9675,1.8979,0,0,0.9276,2.8212,1.8839,3.0324
Quinone oxidoreductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=qor PE=4 SV=2,Q7D0L3,qor,35 kDa,,unknown,2.8788,1.0605,2.3737,1.9612,1.189,2.0028,0.90766,0,1.9098,2.6136,1.1086,2.0232,4.5587,5.5042,3.0034,1.9878,1.9719,0,1.9851,1.9747,2.0141,2.089,1.9575,1.0232,1.7647,1.935,2.8469,0,0,0,1.8808,3.7678,2.0216
Chemotaxis receiver protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cheY PE=4 SV=1,Q7D1A8,cheY,13 kDa,,unknown,1.9192,2.1211,1.1868,1.9612,2.3781,2.0028,1.8153,1.931,0.95491,2.6136,2.2172,2.0232,0,0,0,1.9878,1.9719,2.0216,1.9851,2.9621,3.0212,3.1334,1.9575,2.0464,3.5294,1.935,2.8469,2.0001,2.788,1.8552,0.94041,2.8259,2.0216
Peptide deformylase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=def PE=3 SV=1,Q8UID1,def,19 kDa,,unknown,1.9192,1.0605,1.1868,0,0,0,2.723,2.8965,1.9098,0,2.2172,2.0232,0,0,0,0.9939,1.9719,2.0216,2.9777,1.9747,2.0141,0,1.9575,2.0464,1.7647,1.935,1.8979,2.0001,2.788,4.638,1.8808,1.8839,1.0108
Proteinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pfpI PE=4 SV=1,A9CG53,pfpI,21 kDa,,unknown,0.95961,1.0605,1.1868,0.98062,0,1.0014,1.8153,0.96552,2.8647,3.9204,4.4345,1.0116,0.91174,1.1008,0,0.9939,0,0,0.99257,0.98736,0,2.089,0.97876,3.0696,0,0,0,9.0005,7.4348,8.3484,0.94041,2.8259,3.0324
"ABC transporter, nucleotide binding/ATPase protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4435 PE=4 SV=1",A9CGN2,Atu4435,27 kDa,,unknown,3.8384,2.1211,2.3737,1.9612,2.3781,2.0028,0,1.931,0,2.6136,2.2172,3.0348,1.8235,2.2017,1.0011,1.9878,1.9719,2.0216,1.9851,1.9747,1.0071,2.089,1.9575,3.0696,1.7647,1.935,2.8469,1.0001,2.788,0.9276,2.8212,0,2.0216
